,location,prov_state,country,lat,long,date,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,geometry
0,Thailand,Thailand,Thailand,15.0,101.0,2020-01-22,2,2.0,,,,,POINT (101 15)
1,Thailand,Thailand,Thailand,15.0,101.0,2020-01-23,3,1.0,,,,,POINT (101 15)
2,Thailand,Thailand,Thailand,15.0,101.0,2020-01-24,5,2.0,,,,,POINT (101 15)
3,Thailand,Thailand,Thailand,15.0,101.0,2020-01-25,7,2.0,,,,,POINT (101 15)
4,Thailand,Thailand,Thailand,15.0,101.0,2020-01-26,8,1.0,,,2.0,2.0,POINT (101 15)
5,Thailand,Thailand,Thailand,15.0,101.0,2020-01-27,8,0.0,,,2.0,0.0,POINT (101 15)
6,Thailand,Thailand,Thailand,15.0,101.0,2020-01-28,14,6.0,,,5.0,3.0,POINT (101 15)
7,Thailand,Thailand,Thailand,15.0,101.0,2020-01-29,14,0.0,,,5.0,0.0,POINT (101 15)
8,Thailand,Thailand,Thailand,15.0,101.0,2020-01-30,14,0.0,,,5.0,0.0,POINT (101 15)
9,Thailand,Thailand,Thailand,15.0,101.0,2020-01-31,19,5.0,,,5.0,0.0,POINT (101 15)
10,Thailand,Thailand,Thailand,15.0,101.0,2020-02-01,19,0.0,,,5.0,0.0,POINT (101 15)
11,Thailand,Thailand,Thailand,15.0,101.0,2020-02-02,19,0.0,,,5.0,0.0,POINT (101 15)
12,Thailand,Thailand,Thailand,15.0,101.0,2020-02-03,19,0.0,,,5.0,0.0,POINT (101 15)
13,Thailand,Thailand,Thailand,15.0,101.0,2020-02-04,25,6.0,,,5.0,0.0,POINT (101 15)
14,Thailand,Thailand,Thailand,15.0,101.0,2020-02-05,25,0.0,,,5.0,0.0,POINT (101 15)
15,Thailand,Thailand,Thailand,15.0,101.0,2020-02-06,25,0.0,,,5.0,0.0,POINT (101 15)
16,Thailand,Thailand,Thailand,15.0,101.0,2020-02-07,25,0.0,,,5.0,0.0,POINT (101 15)
17,Thailand,Thailand,Thailand,15.0,101.0,2020-02-08,32,7.0,,,10.0,5.0,POINT (101 15)
18,Thailand,Thailand,Thailand,15.0,101.0,2020-02-09,32,0.0,,,10.0,0.0,POINT (101 15)
19,Thailand,Thailand,Thailand,15.0,101.0,2020-02-10,32,0.0,,,10.0,0.0,POINT (101 15)
20,Thailand,Thailand,Thailand,15.0,101.0,2020-02-11,33,1.0,,,10.0,0.0,POINT (101 15)
21,Thailand,Thailand,Thailand,15.0,101.0,2020-02-12,33,0.0,,,10.0,0.0,POINT (101 15)
22,Thailand,Thailand,Thailand,15.0,101.0,2020-02-13,33,0.0,,,12.0,2.0,POINT (101 15)
23,Thailand,Thailand,Thailand,15.0,101.0,2020-02-14,33,0.0,,,12.0,0.0,POINT (101 15)
24,Thailand,Thailand,Thailand,15.0,101.0,2020-02-15,33,0.0,,,12.0,0.0,POINT (101 15)
25,Thailand,Thailand,Thailand,15.0,101.0,2020-02-16,34,1.0,,,14.0,2.0,POINT (101 15)
26,Thailand,Thailand,Thailand,15.0,101.0,2020-02-17,35,1.0,,,15.0,1.0,POINT (101 15)
27,Thailand,Thailand,Thailand,15.0,101.0,2020-02-18,35,0.0,,,15.0,0.0,POINT (101 15)
28,Thailand,Thailand,Thailand,15.0,101.0,2020-02-19,35,0.0,,,15.0,0.0,POINT (101 15)
29,Thailand,Thailand,Thailand,15.0,101.0,2020-02-20,35,0.0,,,15.0,0.0,POINT (101 15)
30,Thailand,Thailand,Thailand,15.0,101.0,2020-02-21,35,0.0,,,17.0,2.0,POINT (101 15)
31,Thailand,Thailand,Thailand,15.0,101.0,2020-02-22,35,0.0,,,17.0,0.0,POINT (101 15)
32,Thailand,Thailand,Thailand,15.0,101.0,2020-02-23,35,0.0,,,21.0,4.0,POINT (101 15)
33,Thailand,Thailand,Thailand,15.0,101.0,2020-02-24,35,0.0,,,21.0,0.0,POINT (101 15)
34,Thailand,Thailand,Thailand,15.0,101.0,2020-02-25,37,2.0,,,22.0,1.0,POINT (101 15)
35,Thailand,Thailand,Thailand,15.0,101.0,2020-02-26,40,3.0,,,22.0,0.0,POINT (101 15)
36,Thailand,Thailand,Thailand,15.0,101.0,2020-02-27,40,0.0,,,22.0,0.0,POINT (101 15)
37,Thailand,Thailand,Thailand,15.0,101.0,2020-02-28,41,1.0,,,28.0,6.0,POINT (101 15)
38,Thailand,Thailand,Thailand,15.0,101.0,2020-02-29,42,1.0,,,28.0,0.0,POINT (101 15)
39,Thailand,Thailand,Thailand,15.0,101.0,2020-03-01,42,0.0,1.0,1.0,28.0,0.0,POINT (101 15)
40,Thailand,Thailand,Thailand,15.0,101.0,2020-03-02,43,1.0,1.0,0.0,31.0,3.0,POINT (101 15)
41,Thailand,Thailand,Thailand,15.0,101.0,2020-03-03,43,0.0,1.0,0.0,31.0,0.0,POINT (101 15)
42,Thailand,Thailand,Thailand,15.0,101.0,2020-03-04,43,0.0,1.0,0.0,31.0,0.0,POINT (101 15)
43,Thailand,Thailand,Thailand,15.0,101.0,2020-03-05,47,4.0,1.0,0.0,31.0,0.0,POINT (101 15)
44,Thailand,Thailand,Thailand,15.0,101.0,2020-03-06,48,1.0,1.0,0.0,31.0,0.0,POINT (101 15)
45,Thailand,Thailand,Thailand,15.0,101.0,2020-03-07,50,2.0,1.0,0.0,31.0,0.0,POINT (101 15)
46,Thailand,Thailand,Thailand,15.0,101.0,2020-03-08,50,0.0,1.0,0.0,31.0,0.0,POINT (101 15)
47,Thailand,Thailand,Thailand,15.0,101.0,2020-03-09,50,0.0,1.0,0.0,31.0,0.0,POINT (101 15)
48,Thailand,Thailand,Thailand,15.0,101.0,2020-03-10,53,3.0,1.0,0.0,33.0,2.0,POINT (101 15)
49,Thailand,Thailand,Thailand,15.0,101.0,2020-03-11,59,6.0,1.0,0.0,34.0,1.0,POINT (101 15)
50,Thailand,Thailand,Thailand,15.0,101.0,2020-03-12,70,11.0,1.0,0.0,34.0,0.0,POINT (101 15)
51,Thailand,Thailand,Thailand,15.0,101.0,2020-03-13,75,5.0,1.0,0.0,35.0,1.0,POINT (101 15)
